@relation synthetic1
@attribute x real
@attribute y real
@attribute class {1,2}
@data
-1.24,-0.35,1
 1.73, 0.80,1
-1.85,-0.62,1
-0.09, 0.95,1
-1.47, 1.28,1
-0.48,-1.37,1
-1.29, 1.72,1
 0.48, 0.32,1
 0.57,-1.88,1
 0.20, 1.27,1
 0.45,-1.37,1
 0.82, 1.77,1
 1.33,-1.95,1
-1.52,-1.82,1
-1.16, 0.06,1
 0.57,-0.67,1
 1.84,-1.73,1
-0.34,-0.79,1
-1.14,-0.50,1
-0.33, 1.84,1
-0.67,-1.46,1
 0.40,-1.70,1
 1.89,-0.52,1
-1.02, 1.53,1
-1.87, 1.86,1
 1.96,-1.31,1
 1.04, 0.26,1
-0.28, 1.43,1
-0.97, 0.16,1
-1.81, 1.10,1
 1.95, 0.35,1
 0.31, 0.94,1
-1.21,-1.66,1
-1.52,-1.43,1
-0.66,-1.77,1
 0.28, 0.47,1
-0.80, 0.37,1
-1.45,-0.75,1
-0.44,-0.04,1
-1.87, 1.91,1
-1.81,-0.62,1
-0.99,-1.54,1
-0.43, 0.74,1
 0.82, 0.17,1
-1.34,-1.71,1
-0.45,-0.10,1
 1.57, 0.43,1
 1.46, 0.10,1
 1.09, 1.58,1
 1.50, 0.49,1
-1.51,-1.33,1
 0.54, 1.78,1
-1.63,-1.80,1
-1.49, 0.03,1
-1.17, 0.19,1
-1.68,-0.48,1
 0.23,-1.72,1
-0.04, 0.80,1
 0.21, 0.66,1
 1.63, 0.46,1
-1.96,-0.71,1
-0.37, 0.42,1
-1.04, 1.57,1
 0.49, 0.09,1
 1.22, 0.28,1
-1.17,-0.20,1
-1.32, 0.26,1
 0.14, 1.28,1
-1.82,-0.92,1
-0.57, 0.39,1
 1.67,-1.46,1
-1.96,-1.66,1
 0.93,-1.75,1
 1.40, 1.35,1
 0.49, 1.41,1
 1.66,-1.61,1
-1.96, 0.21,1
-1.72,-0.24,1
 1.82, 1.11,1
 0.53,-0.65,1
-0.78,-0.07,1
-1.78, 0.72,1
 0.99, 1.57,1
 1.92,-0.74,1
-0.06,-1.05,1
-1.46, 0.10,1
 1.66, 1.51,1
 1.15, 0.15,1
 1.96,-0.38,1
-1.96,-0.03,1
-1.29, 0.01,1
 0.11,-1.52,1
-0.01,-1.37,1
-1.41,-1.64,1
-0.72,-0.01,1
 1.31, 1.66,1
 1.57, 0.45,1
 1.50,-1.78,1
-0.09,-0.77,1
 1.72, 0.45,1
 0.72,-1.55,1
-1.87, 0.90,1
 1.68, 1.69,1
 1.95, 1.39,1
 1.99, 1.94,1
 1.57,-0.85,1
-0.79,-1.75,1
 0.81, 1.57,1
 1.49,-0.14,1
-1.49, 0.79,1
