@relation synthetic1
@attribute x real
@attribute y real
@attribute class {1,2}
@data
 1.05,-0.45,1
 1.13, 0.03,1
 1.52,-0.04,1
 1.68,-0.86,1
-0.12, 1.43,1
 0.03, 1.33,1
-0.04, 1.66,1
 0.48,-1.97,1
 0.04, 0.72,1
 1.75, 1.39,1
-0.38,-1.71,1
 1.99, 1.44,1
-0.49, 1.16,1
 0.42, 1.31,1
 0.38, 1.89,1
-0.49,-1.33,1
 1.69,-0.14,1
 1.86,-0.69,1
 0.48, 0.56,1
 1.73, 1.27,1
-1.42,-0.18,1
-0.39, 0.82,1
 0.41, 0.42,1
-0.36, 0.53,1
 0.63, 1.73,1
-0.50, 1.99,1
-0.27, 0.78,1
-1.56, 1.69,1
 1.96, 0.19,1
 0.34, 1.49,1
-0.59,-1.37,1
 1.40, 1.56,1
 0.14, 0.43,1
-0.18,-0.14,1
 0.04,-0.66,1
 0.14,-0.12,1
 0.74,-0.46,1
-1.96,-0.54,1
 0.83, 0.04,1
 0.99,-0.18,1
-0.71, 1.73,1
 0.39, 1.44,1
-0.15,-0.92,1
 1.07,-1.86,1
 0.36, 0.82,1
-0.41, 0.94,1
 0.36, 1.00,1
 1.59,-0.34,1
 0.26,-0.20,1
-1.71, 0.82,1
 1.74, 1.80,1
-1.09, 0.17,1
 0.11,-0.94,1
 1.29, 0.26,1
 0.52, 0.76,1
 0.08,-0.00,1
 0.33,-0.71,1
 1.30, 1.98,1
-1.53,-0.27,1
 0.62,-1.56,1
 1.67, 1.59,1
-1.47, 0.17,1
-1.35,-1.46,1
-1.11, 0.10,1
-0.18,-0.62,1
 0.27, 0.39,1
-1.40,-0.24,1
-1.32, 0.36,1
-0.40, 0.89,1
-1.83,-0.29,1
 0.86, 1.58,1
-0.58,-1.74,1
 1.08, 0.30,1
 1.55, 1.27,1
 1.19, 1.88,1
 0.56,-1.55,1
 0.42,-0.07,1
 0.11, 1.70,1
-1.52,-0.49,1
-0.29, 0.78,1
-1.55, 0.79,1
-0.18, 1.12,1
-1.05,-0.11,1
 0.66, 0.02,1
-0.39,-1.16,1
-0.41, 0.84,1
-0.53,-1.71,1
 1.27, 1.71,1
-1.22, 0.09,1
 0.14,-1.56,1
-1.98,-1.68,1
-1.69,-1.29,1
 1.78, 1.63,1
 0.39,-1.82,1
 0.31, 1.91,1
-0.69,-1.97,1
 0.37, 1.99,1
-1.73, 1.31,1
 0.94,-1.54,1
 1.76,-0.58,1
 0.62, 0.63,1
 0.20, 0.14,1
 0.04, 1.35,1
-1.95, 1.05,1
 0.32,-1.10,1
 1.46, 1.47,1
-1.65, 1.42,1
-0.85, 0.07,1
-0.58, 0.29,1
 0.48, 1.83,1
 0.39, 0.78,1
-0.97,-0.19,1
-1.97, 1.93,1
 0.22, 1.02,1
 0.93, 0.10,1
 1.61, 0.59,1
-0.33,-0.18,1
-1.49, 0.32,1
-1.76,-1.34,1
-0.13, 1.60,1
-1.27, 1.57,1
-0.71,-0.53,1
 1.37,-1.54,1
 0.05,-0.21,1
-1.22, 1.64,1
-1.35,-0.06,1
 1.92, 0.08,1
-0.19, 1.05,1
 1.98, 1.37,1
-1.15,-0.49,1
 0.36, 0.91,1
 0.53,-2.00,1
 1.32,-1.54,1
-0.27,-0.32,1
-0.72, 0.25,1
-1.79, 1.07,1
 1.83, 1.52,1
-0.25, 0.13,1
 0.14,-1.24,1
 0.23,-0.88,1
 0.31, 0.12,1
-1.70, 0.43,1
 1.91, 1.70,1
-1.38, 2.00,1
 1.78, 1.77,1
 1.02, 1.66,1
-0.87, 1.88,1
 1.48, 1.43,1
-1.95,-0.97,1
 1.22, 1.95,1
 1.44, 0.12,1
 0.27, 1.04,1
-1.15,-0.13,1
 1.58,-1.48,1
 1.94, 0.12,1
-0.55, 0.45,1
-0.03, 0.84,1
 1.16, 0.21,1
-1.16, 0.37,1
 0.12,-1.54,1
-0.93, 0.02,1
-1.90, 0.36,1
-1.53,-0.58,1
-1.10,-1.84,1
 1.88,-1.74,1
 1.75,-1.67,1
-1.80, 0.09,1
-1.13, 1.61,1
-0.29,-1.06,1
-0.08,-0.44,1
 1.57, 1.82,1
-0.71,-0.58,1
-0.16,-1.35,1
-0.45, 1.76,1
 1.55, 0.86,1
-1.93, 1.18,1
